nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Natillas de vainilla Danone Danet pack de 4 unidades de 120 g.,1.99,4.15,la despensa,yogures y postres,Postres y yogures,€/kg,
Palmerón de hojaldre de azúcar XXL Carrefour 330 g,1.99,1.99,productos frescos,panaderia tradicional,Panadería y pastelería,€/ud,
Corazones de alcachofa enteros Carrefour 240 g.,1.99,8.29,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Pan rebanado hogaza 500 g,1.99,3.98,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Tortitas de arroz ecológicas Ecocesta sin gluten 115 g.,1.99,17.3,la despensa,aperitivos,Aperitivos,€/kg,
Pan de molde de maíz y semillas de girasol 400 g,1.99,4.97,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Mousse de chocolate blanco con leche Mousse Dúo Nestlé La Lechera pack de 4 unidades de 60 g.,1.99,8.29,la despensa,yogures y postres,Postres y yogures,€/kg,
Hogaza de pan Carrefour 500 g.,1.99,3.98,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Nueces sin cáscara Carrefour 200 g.,1.99,9.95,la despensa,aperitivos,Aperitivos,€/kg,
Caramelos blandos Mastistick Miguelañez 90 g.,1.99,22.11,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Merluza al natural Extra Carrefour 70 g.,1.99,28.43,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Maquinillas desechables para mujer 2 hojas 10 ud.,1.99,0.2,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Crema de chocolate ecológica Pastoret 100 g.,1.99,19.9,la despensa,yogures y postres,Postres y yogures,€/kg,
Gelatina sabor fresa sin azúcar Royal sin gluten pack de 4 unidades de 90 g.,1.99,5.53,la despensa,yogures y postres,Postres y yogures,€/kg,
Tarrito de frutas variadas desde 4 meses Hero Baby sin gluten pack de 2 unidades de 120 g.,1.99,8.29,bebe,alimentacion infantil,Bebé,€/kg,
Gelatina sabor tropical sin azúcar Royal sin gluten pack de 4 unidades de 90 g.,1.99,4.97,la despensa,yogures y postres,Postres y yogures,€/kg,
Pan Burguer Goiko 150 g,1.99,13.27,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Patatas fritas salsa bull Sensation Carrefour y Lord Dani 150 g.,1.99,13.27,la despensa,aperitivos,Aperitivos,€/kg,
