nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Enjuague bucal acción antiplaca bacteriana con flúor frescor intenso Triple Acción Licor del Polo 500 ml.,5.45,1.091,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Tostadas integrales Airos sin gluten sin lactosa 225 g.,5.45,24.22,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Champú anticaspa limpieza profunda alivia el picor H&S 300 ml.,5.45,1.821,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Lasaña boloñesa gratinada 700 g,5.45,7.79,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/kg,
"Café con leche delicato en cápsulas Nescafé Dolce Gusto 16 unidades de 11,7 g.",5.45,,la despensa,desayuno,Cereales y galletas,No especificado,
Filete de aguja de cerdo Duroc Círculo de Calidad Carrefour 500 g aprox,5.44,10.89,productos frescos,carniceria,Carne,€/kg,
Langostino cocido (30/40 ud) 500 g aprox,5.44,10.89,productos frescos,pescaderia,Marisco y pescado,€/kg,
Desodorante en spray Black Axe pack de 2 unidades de 150 ml.,5.4,1.801,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Mejillón Gallego Cocido Carrefour El Mercado 1 kg,5.4,5.4,productos frescos,pescaderia,Marisco y pescado,€/kg,
Pizza cheese onion Big Americans 385 g,5.39,14.0,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Quitamanchas en spray Sin Manchas Oxy Effect KH-7 750 ml.,5.39,7.19,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Champú reparación con aceite de argán bío:renew Herbal Essences 400 ml.,5.39,1.351,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
"Colutorio semanal 0,2% sabor a fresa Flúor Lacer 100 ml.",5.39,5.391,parafarmacia,higiene bucal,Cuidado facial y corporal,€/100ml,
Quitamanchas desinfectante en polvo Sanytol 450 g.,5.39,11.98,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/kg,
Sucedáneo de caviar Mujjól Shikrán sin gluten 80 g.,5.39,67.37,productos frescos,pescaderia,Marisco y pescado,€/kg,
Pizza BBQ Chicken Big Americans 460 g,5.39,11.72,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Agua micelar en aceite Skin Active Garnier 400 ml.,5.39,1.351,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Gyozas de Gambas Itsu Classic 240 g,5.39,22.46,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
"Pilas Alcalinas AA Duracell Plus, paquete de 4",5.39,1.35,limpieza y hogar,bazar,bazar,€/ud,
Leche de cabra entera ecológica Cantero de Letur botella 1 l.,5.39,5.39,la despensa,lacteos,leche y mantequilla,€/l,
Cinta dental con cera Vitis 50 metros,5.39,5.39,parafarmacia,higiene bucal,Cuidado facial y corporal,€/ud,
Champú y acondicionador anticaspa citrus fresh H&S 300 ml.,5.39,1.801,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Desodorante en spray dermo extra control 48h Sanex pack de 2 unidades de 200 ml.,5.39,1.351,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Suavizante concentrado delicado para pieles sensibles y alérgicas Vernel 95 lavados.,5.39,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Desodorante en spray dermo sensitive protección 24h Sanex pack de 2 unidades de 200 ml.,5.39,1.351,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Colutorio Pro-Expert Limpieza Profunda Menta Fresca Oral-B 500 ml.,5.39,1.081,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Fabada con bocaditos Hi Vegs! sin gluten 300 g.,5.39,,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",No especificado,
Cereales de avena tostada con chocolate Extra Kellogg's 500 g.,5.39,10.78,la despensa,desayuno,Cereales y galletas,€/kg,
Adhesico Instantaneo UltraUnick 3gr,5.39,,limpieza y hogar,bazar,bazar,€/kg,
Champú anticaída engrosador densificante jalea real con capilmax Tío Nacho 330 ml.,5.39,1.631,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Desodorante en spray dermo invisible protección antitranspirante 24h Sanex pack de 2 unidades de 200 ml.,5.39,1.351,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Papilla infantil con cereales desde 4 meses ecológico Carrefour Baby Bio sin gluten 400 g.,5.39,13.47,bebe,alimentacion infantil,Bebé,€/kg,
Brocheta de Jamón de Cerdo Adobada Carrefour 600 g aprox,5.39,10.79,productos frescos,carniceria,Carne,€/kg,
Queso de vaca viejo Old Amsterdam sin gluten 200 g,5.39,26.95,productos frescos,quesos,Charcutería y quesos,€/kg,
Dentífrico blanqueador Max White One Colgate pack de 2 unidades de 75 ml.,5.39,3.591,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Queso fresco Original Burgo de Arias pack de 2 unidades de 230 g.,5.39,11.72,productos frescos,quesos,Charcutería y quesos,€/kg,
Seda dental suave con flúor y menta Vitis 50 metros,5.39,5.39,parafarmacia,higiene bucal,Cuidado facial y corporal,€/ud,
Champú y acondicionador anticaspa menthol fresh H&S 330 ml.,5.39,1.801,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Rollo de Mantel de Papel P&H 110x100 cm - Blanco,5.39,0.54,limpieza y hogar,menaje,Limpieza y hogar,€/m,
Café soluble descafeinado La Estrella 200 g.,5.39,26.95,la despensa,desayuno,Cereales y galletas,€/kg,
Dentífrico cuidado intensivo Encías & Protección antibacteriano limpieza intensiva Oral-B 75 ml.,5.39,7.191,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Champú volumen con pomelo blanco bío:renew Herbal Essences 400 ml.,5.39,1.351,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Champú anticaída herbolaria milenaria jalea real extractos fortificante Tío Nacho 330 ml.,5.39,1.631,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Desodorante en spray Black & White Invisible Original Nivea Men pack de 2 unidades de 200 ml.,5.39,1.351,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Queso fresco Original Burgo de Arias pack de 6 unidades de 72 g.,5.39,12.48,productos frescos,quesos,Charcutería y quesos,€/kg,
Fabada asturiana De Nuestra Tierra 380 g.,5.39,14.18,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Champú purificante con fresa blanca y menta dulce para cabello graso bío:renew Herbal Essences 400 ml.,5.39,1.351,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Champú hidratación con leche de coco bío:renew Herbal Essences 400 ml.,5.39,1.351,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Café soluble natural La Estrella 200 g.,5.39,26.95,la despensa,desayuno,Cereales y galletas,€/kg,
Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.,5.39,10.78,productos frescos,quesos,Charcutería y quesos,€/kg,
Bizcocho de Cacao con Chips de chocolate La Granja sin gluten y sin lactosa 230 g,5.39,23.43,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Suavizante concentrado Aromaterapia Maldivas relajantes Vernel 95 lavados.,5.39,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Crema de queso de untar light Philadelphia pack de 2 unidades de 250 g.,5.39,10.78,productos frescos,quesos,Charcutería y quesos,€/kg,
Desodorante en spray Black & White Invisible Original Nivea pack de 2 unidades de 200 ml.,5.39,1.351,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Burguer Better Balance 200 g.,5.39,26.95,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Caldo de pollo Avecrem Gallina Blanca sin gluten 48 pastillas,5.39,11.23,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Champú fresco y fuerte para cabello débil y pagado con extracto de hierbas alpinas Timotei 750 ml.,5.39,0.721,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Magnesio en comprimidos efervescentes Aquilea 14 comprimidos.,5.39,6.421,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Protegeslip Cottonlike normal Evax 100 ud.,5.39,0.05,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Cerveza San Miguel especial Lager pack de 12 botellas de 25 cl.,5.39,1.8,bebidas,cerveza,Bodega,€/l,
cocido madrileño con bocaditos Hi Vegs! sin gluten 300 g.,5.39,,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",No especificado,
Pasta de malta con queso para gato aduto Vitakraft 100 g.,5.39,53.9,mascotas,gatos,Mascotas,€/kg,
Croquetas de jamón ibérico La cocinera 340 g.,5.39,15.85,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Aguarras profesional Pqs botella 1L,5.39,5.39,limpieza y hogar,bazar,bazar,€/ud,
Detergente liquido con jabón vegetal Eco Planet Carrefour 33 lavados.,5.39,0.16,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Limpiador de suciedad y manchas de humedad para baños y juntas negras Cillit Bang 750 ml.,5.39,7.19,limpieza y hogar,productos para bano,Limpieza y hogar,€/l,
Spray solar sport SPF 30 Les Cosmétiques Sun Ultimate 200 ml.,5.39,2.691,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Carne picada de pollo de corral Coren 400 g,5.39,13.47,productos frescos,carniceria,Carne,€/kg,
Preservativo Ultrafino Happy Sex 12 ud.,5.39,0.45,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,€/ud,
Queso fresco desnatado Burgo de Arias pack de 6 unidades de 72 g.,5.39,12.48,productos frescos,quesos,Charcutería y quesos,€/kg,
Trucha asalmonada Círculo de Calidad 600 g aprox,5.37,8.95,productos frescos,pescaderia,Marisco y pescado,€/kg,
Lomo de cerdo adobado extra en filetes Carrefour 750 g aprox,5.36,7.15,productos frescos,carniceria,Carne,€/kg,
Espirulina en cápsulas Vive+ sin gluten 50 ud.,5.35,25.481,la despensa,alimentacion,"Salsas, pasta y refrescos",€/100g,
Licor de mora Rives sin alcohol 70 cl.,5.35,7.64,bebidas,licores y cremas,Bodega,€/l,
Cacahuete cubierto de chocolate Conguitos sin gluten 350 g.,5.35,15.29,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Queso ibérico viejo Extra Carrefour cuña cortada 250 g.,5.35,21.4,productos frescos,quesos,Charcutería y quesos,€/kg,
Empanada rectangular vegana Carrefour 800 g,5.35,5.35,productos frescos,panaderia tradicional,Panadería y pastelería,€/ud,
Compresas para incontinencia mini Discreet Ultra Tena 20 ud.,5.35,0.27,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Leche corporal reparadora lactourea para piel muy seca Lactovit 400 ml.,5.35,1.341,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Abrillantador para lavavajillas Finish Powerball 500 ml.,5.35,10.7,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Queso camembert President 250 g,5.35,21.4,productos frescos,quesos,Charcutería y quesos,€/kg,
Solomillo de cerdo con patatas parisinas al oporto Carretilla 300 g.,5.35,17.83,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Maquinilla para mujer sistema suavidad sublime 3 hojas Carrefour Soft 1 ud.,5.35,5.35,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Chocolate negro 70% con almendras enteras Valor sin gluten 250 g.,5.35,21.4,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Lasaña boloñesa Carrefour pack de 2 unidades de 500 g.,5.35,5.35,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Bolsas de Basura Resistente Antigoteo 100% Reciclado HANDY BAG 30L 25 ud,5.35,0.21,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Pistachos pelados y tostados con sal Wonderful 100 g.,5.35,53.5,la despensa,aperitivos,Aperitivos,€/kg,
Champú anticaspa nutre y cuida H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Body milk nutritivo aceite de almendras piel seca bajo la ducha Nivea 400 ml.,5.35,1.341,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Alcachofa en cápsulas Vive+ 50 ud.,5.35,24.321,la despensa,alimentacion,"Salsas, pasta y refrescos",€/100g,
Perfumador para la ropa rosa Flor 36 lavados.,5.35,7.43,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Preparado para pastel de zanahoria con crema de queso Dr. Oetker 315 g.,5.35,16.98,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Toallitas para bebé melón Kandoo pack 2 paquetes de 60 ud.,5.35,0.04,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Quitamanchas en pulverizador sin manchas KH-7 780 ml.,5.35,6.86,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Champú anticaspa classic H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Champú anticaspa apple fresh H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Crema facial vitamina C tratamiento antioxidante +luminosidad Babaria 50 ml.,5.35,10.701,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Bach Extrísimo Brut Nature,5.35,5.35,bebidas,cava y champagne,Bodega,€/ud,
Habitas baby con aceite de oliva Carrefour 400 g.,5.35,13.37,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Suavizante concentrado cielo azul Vernel 95 lavados.,5.35,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Champú anticaspa citrus fresh H&S 300 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Suavizante concentrado Fresh Control explosión de frescor 88 lavados.,5.35,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Champú anticaspa menthol fresh H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Pinza de depilar punta recta Beter 1 ud.,5.35,5.35,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Cola de caballo en cápsulas Vive+ 50 ud.,5.35,20.581,la despensa,alimentacion,"Salsas, pasta y refrescos",€/100g,
Champú y acondicionador anticaspa 2 en 1 Classic H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Champú anticaspa anticaída con cafeína H&S 330 ml.,5.35,1.621,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Preparado brownie Dr. Oetker 456 g.,5.35,11.73,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Suavizante concentrado Aromaterapia+ agua de coco y minerales Vernel 95 lavados.,5.35,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Anchoas en aceite de oliva Consorcio 78 g.,5.35,107.0,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Canelones con carne de cerdo Carrefour pack de 2 unidades de 500 g.,5.35,5.35,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Lecitina de soja Vive+ sin gluten 250 g.,5.35,21.4,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Corazones de alcachofas 5/8 ecológicos Carrefour Bio 200 g.,5.35,26.75,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Queso ibérico viejo Extra Carrefour cuña 270 g.,5.35,19.81,productos frescos,quesos,Charcutería y quesos,€/kg,
Queso de vaca viejo en cuña Old Amsterdam sin lactosa 200 g.,5.35,26.75,productos frescos,quesos,Charcutería y quesos,€/kg,
Bacalao desmigado salado Carrefour El Mercado 250 g,5.3,21.2,productos frescos,pescaderia,Marisco y pescado,€/kg,
Lasaña Barbacoa La Cocinera 500 g.,5.29,10.58,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Pañales Carrefour Baby Soft&Protect Talla 1 (2-5 kg) 26 ud.,5.29,0.23,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Huevas de lumpo Casa Westfalia 100 g.,5.29,52.9,productos frescos,pescaderia,Marisco y pescado,€/kg,
Crema de manos reparadora Cerave 50 ml.,5.29,10.581,parafarmacia,cuidado de manos y pies,Cuidado facial y corporal,€/100ml,
Hamburguesa mini de picaña Angus de vacuno Carrefour Selección Lord Dani 360 g,5.29,14.69,productos frescos,carniceria,Carne,€/kg,
"Café largo en cápsulas Marcilla Tassimo 16 unidades de 8,3 g.",5.29,40.08,la despensa,desayuno,Cereales y galletas,€/kg,
Salsa ragú a la boloñesa Rummo 340 g.,5.29,15.56,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Queso curado ya cortado García Baquero 225 g,5.29,23.51,productos frescos,quesos,Charcutería y quesos,€/kg,
Lasaña Boloñesa La Cocinera 500 g.,5.29,10.58,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Limpiador vitrocerámicas en crema naranja ecológico Frosch 500 ml.,5.29,10.58,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Salchichas bockwurst Carrefour sin gluten sin lactosa 540 g.,5.29,9.8,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Multivitaminas complet + oligoelementos Vallesol 24 comprimidos.,5.29,7.871,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,€/100g,
Espárrago verde entero Findus 200 g.,5.29,26.45,congelados,verduras congeladas,Congelados,€/kg,
Limpiador de placas de Inducción KH-7 780 ml,5.29,6.78,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Perfumador líquido marsella Detersolín 720 ml.,5.29,7.35,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
"Café descafeinado en cápsulas Marcilla Tassimo 16 unidades de 7,4 g.",5.29,44.83,la despensa,desayuno,Cereales y galletas,€/kg,
Café caramelo macchiato Starbucks 750 ml.,5.29,7.05,la despensa,lacteos,leche y mantequilla,€/l,
Gel Champú Baby Denenes 400 ml.,5.29,1.321,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100ml,
Parches para calenturas con aplicador Soft Carrefour 15 ud.,5.29,0.35,parafarmacia,botiquin,botiquin,€/ud,
"Café cortado en cápsulas Marcilla Tassimo 16 unidades de 11,5 g.",5.29,28.75,la despensa,desayuno,Cereales y galletas,€/kg,
Té English Breakfast en bolsitas Twinings 25 ud.,5.29,105.8,la despensa,desayuno,Cereales y galletas,€/kg,
Mermelada limón ecológica Chivers 265 g.,5.29,19.96,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
"Café espresso en cápsulas Marcilla Tassimo 16 unidades de 7,4 g.",5.29,44.83,la despensa,desayuno,Cereales y galletas,€/kg,
