nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Crema de día Iluminadora con vitamina C citrus ecológico Garnier 50 ml.,9.29,18.581,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Anna De Codorniu Brut Nature,9.25,9.25,bebidas,cava y champagne,Bodega,UNIDAD
Caldo natural de puchero Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,9.25,4.62,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO
Anna De Codorniu Brut Cava,9.25,9.25,bebidas,cava y champagne,Bodega,UNIDAD
Champú anticaspa fórmula Pro-V con antioxidantes para todo tipo de cabello Nutri Pro-V Pantene 675 ml.,9.25,1.371,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Higiene íntima calmante Eucerin pack de 2 unidades de 250 ml.,9.25,1.851,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML
Cerveza Voll Damm doble malta pack de 12 botellas de 25 cl.,9.25,3.08,bebidas,cerveza,Bodega,LITRO
Melatonina Sanon sin gluten 60 ud.,9.25,28.911,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
Perfume para la ropa en perlas concentrado fresh Unstoppables Lenor 285 g.,9.25,32.46,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,KILO
Anís La Castellana dulce 70 cl.,9.25,13.21,bebidas,licores y cremas,Bodega,LITRO
Gel bioadhesivo tratamiento gingivitis Clorhexidina Lacer 50 ml.,9.25,18.501,parafarmacia,higiene bucal,Fitoterapia y parafarmacia,100 ML
Chupete con tetina fisiológica SX Pro de silicona 0-6 meses Suavinex 2 ud.,9.25,4.62,bebe,puericultura,Bebé,UNIDAD
Compresas para incontinencia maxi night Discreet Protect+ Tena 12 ud.,9.25,0.77,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Queso de oveja curado con trufa Carrefour Selección cuña 200 g,9.25,46.25,productos frescos,quesos,Charcutería y quesos,KILO
Vino blanco ecológico Ermita D'Espiells D.O. Penedés 75 cl.,9.25,9.25,bebidas,vinos,Bodega,UNIDAD
Jamón de Cebo Campo Ibérico 50% Raza Ibérica cortado a cuchillo Melquiades 100 g,9.25,92.5,productos frescos,charcuteria,Charcutería y quesos,KILO
Pack Estropajo para Vitrocerámica con Mango SCOTCH BRITE con 2 Recambios,9.25,9.25,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Ambientador spray automático sin aerosol aroma brisa marina Active Fresh aparato y recambio Air Wick 1 ud.,9.25,9.25,limpieza y hogar,ambientadores,Cuidado facial y corporal,UNIDAD
Entrecot de Vacuno Carrefour El Mercado 500 g aprox,9.24,0.0,productos frescos,carniceria,Carne,No especificado
Lomo Embuchado de Salamanca Carrefour taco de 450 g aprox,9.22,20.5,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
Filete de merluza argentina sin piel 900 g,9.2,10.22,congelados,pescados congelados,Congelados,KILO
Lomos de Salmón Ecológico Carrefour Bio 220 g,9.2,41.82,congelados,pescados congelados,"Aceite, especias y salsas",KILO
Tetina anatómica flujo denso de silicona talla 2M +6m Suavinex 2 ud.,9.19,4.59,bebe,puericultura,Bebé,UNIDAD
"Pañales Dodot Sensitive Recién Nacido Talla 0  (1,5-2,5 kg) 24 uds",9.19,0.38,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Tetina de silicona anatómica talla M flujo medio +6 meses Suavinex 2 ud.,9.19,4.59,bebe,puericultura,Bebé,UNIDAD
Tataki fresco de lomo de vacuno El Encinar de Humienta 500 g aprox,9.16,22.9,productos frescos,carniceria,Carne,KILO
Lendrera detección de piojos Paranix 1 ud.,9.15,9.15,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Vino dulce pedro ximénez Málaga Virgen D.O. Málaga 75 cl.,9.15,9.15,bebidas,vinos,Bodega,UNIDAD
Lavavajillas a máquina en pastillas Classic Finish 57 ud.,9.15,0.16,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO
Queso de cabra curado mini Carrefour Extra 400 g,9.15,22.87,productos frescos,quesos,Charcutería y quesos,KILO
Queso de cabra tierno mini Carrefour 425 g,9.15,21.53,productos frescos,quesos,Charcutería y quesos,KILO
Stick ampollas anti-fricción Compeed 8 ml.,9.15,114.371,parafarmacia,cuidado de manos y pies,Cuidado facial y corporal,100 ML
Limpiadora hidratante Cerave 236 ml.,9.15,3.881,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML
Lomo de Bellota Ibérico 100 % Raza Ibérica en lonchas De Nuestra Tierra 100 g,9.15,91.5,productos frescos,charcuteria,Charcutería y quesos,KILO
Preservativos finissimo original Control 12 ud.,9.15,0.76,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD
Queso de oveja semicurado con romero y tomillo Carrefour Extra 450 g.,9.15,20.33,productos frescos,quesos,Charcutería y quesos,KILO
Protege & Cuida Hidratante Protector Nivea Men 75 ml.,9.15,1.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Tabla de quesos gourmet Juan Luna 300 g,9.15,30.5,productos frescos,quesos,Charcutería y quesos,KILO
Limpiador de inducción Indu Clen 450 ml.,9.15,20.33,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO
Detergente liquido para la ropa de bebe Frosch Baby 21 Lavados,9.09,0.43,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Pañales Carrefour Baby 0% Talla 5 (11-25 kg) 24 ud.,9.09,0.38,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Apósitos ampollas medianas Compeed 5 ud.,9.09,1.82,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Apósitos ampollas dedos pies Compeed 8 ud.,9.09,1.14,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Apósitos ampollas pequeñas Compeed 6 ud.,9.09,1.51,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Pañales Carrefour Baby 0% Talla 3 (4-9 kg) 31 ud.,9.09,0.3,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Pañales Carrefour Baby 0% Talla 4 (7-18 kg) 28 ud.,9.09,0.32,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Mascarilla capilar intensiva repara & regenera con aceite de argán bío:renew Herbal Essences 450 ml.,9.09,2.021,perfumeria e higiene,cabello,"Aceite, especias y salsas",100 ML
Bonito del norte en aceite de oliva De Nuestra Tierra 210 g.,9.09,43.29,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Queso semicurado mezcla mini García Baquero 465 g,9.05,19.46,productos frescos,quesos,Charcutería y quesos,KILO
Dentífrico de uso diario fórmula de acción blanqueadora con flúor sin alcohol sabor citrus Lacer Blanc 125 ml.,9.05,7.241,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Aceite capilar enriquecido con argán Suave & Liso Pantene Pro-V 100 ml.,9.05,9.051,perfumeria e higiene,cabello,"Aceite, especias y salsas",100 ML
Lavavajillas a máquina en pastillas Ultra Power Carrefour Expert 50 ud.,9.05,0.18,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO
Desodorante en spray antitranspirante original protección 72h Advanced Care Dove pack de 3 unidades de 150 ml.,9.05,2.011,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Set de 8 Bayeta Multiusos de Microfibra VILEDA Colors,9.05,1.13,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Enjuague bucal Oral Kin Zero pack de 2 unidades de 500 ml.,9.05,0.901,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Conejo troceado Calidad y Origen Carrefour 1 Kg aprox,9.05,9.05,productos frescos,carniceria,Carne,UNIDAD
"Caballa 1,3 kg aprox",9.03,6.95,productos frescos,pescaderia,Marisco y pescado,KILO
Pinna Fidelis Roble Tinto Joven 2021,8.99,8.99,bebidas,vinos,Bodega,UNIDAD
Bayetas Microfibras Superabsorbentes SPONTEX 10 ud,8.99,0.9,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Colutorio ortodoncia lima fresca Ortolacer 500 ml.,8.99,1.801,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
"Quitamanchas gel acción total turbo Oxy Blanco Puro Neutrex 2,62 l.",8.99,3.43,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO
Loción corporal reafirmante +autobronceadora Q10 Nivea 400 ml.,8.99,2.251,perfumeria e higiene,cuidado y proteccion corporal,Bodega,100 ML
Dentífrico blanqueante sabor menta Lacer 150 ml.,8.99,5.991,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
SPRAY FRUIT RHYTHM ADIDAS 75ML,8.99,11.991,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Anchoas en aceite de oliva Consorcio 87 g.,8.99,103.33,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Colutorio diario fórmula de acción blanqueadora con flúor sin alcohol sabor citrus Lacer Blanc 500 ml.,8.99,1.801,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Caella 1 Kg aprox,8.99,8.99,productos frescos,pescaderia,Marisco y pescado,KILO
Pulpo cocido troceado Carrefour El Mercado 250 g,8.99,35.96,productos frescos,pescaderia,Marisco y pescado,KILO
Colutorio sensibilidad dental Sensilacer 500 ml.,8.99,1.801,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 500 ml.,8.99,1.801,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Champú para barba 2 en 1 original Bulldog 200 ml.,8.99,4.491,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Tratamiento banana ultra nutritiva Garniel Fructis 200 ml,8.99,4.491,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Colutorio de uso diario sin alcohol previene caries dental Lacer Fresh 500 ml.,8.99,1.801,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Tratamiento capilar piña anti-rotura Garnier Fructis 200 ml,8.99,4.491,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
"Pilas Alcalinas AA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,bazar,Limpieza y hogar,UNIDAD
"Pilas Alcalinas AAA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,bazar,Limpieza y hogar,UNIDAD
Mini Croissants bañados Carrefour 430 g,8.99,20.91,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Tabletas limpiadoras para ortodoncias y férulas Corega 36 ud.,8.99,0.25,parafarmacia,higiene bucal,Cuidado facial y corporal,UNIDAD
"Tabla surtido de foie gras: pato, oca, pato con trufa y pato con boletus Martiko pack de 4 unidades de 20 g",8.99,112.37,productos frescos,charcuteria,Charcutería y quesos,KILO
Spray bruma post-solar reparadora efecto hielo Ecran Aftersun 250 ml.,8.99,3.601,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Chupete con tetina fisiológica SX Pro de silicona 6-18 meses Suavinex 2 ud.,8.99,4.49,bebe,puericultura,Bebé,UNIDAD
Colutorio antiséptico Oraldine 400 ml.,8.99,2.251,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Crema renovadora de pies Cerave 88 ml.,8.99,10.221,parafarmacia,cuidado de manos y pies,Cuidado facial y corporal,100 ML
Cinta americana universal extra power tesa 25mx50mm,8.99,8.99,limpieza y hogar,bazar,"Aceite, especias y salsas",UNIDAD
Arena para Gato Sanicat Zen6 L,8.99,1.5,mascotas,gatos,Mascotas,LITRO
Colonia para bebe sin alcohol perfuma y refresca Mustela 200 ml.,8.99,4.491,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML
Pienso de pollo para perro mediano-grande Dream Excellence 3 kg,8.99,3.0,mascotas,perros,Mascotas,KILO
Limpiador alfombras y Tapicerias Espuma Vanish 600 ml.,8.99,14.98,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LITRO
Gambón extra grande crudo Carrefour 700 g.,8.99,12.84,congelados,mariscos congelados,Congelados,KILO
Raya 500 g aprox,8.97,17.95,productos frescos,pescaderia,Marisco y pescado,KILO
Crema hidratante anti-edad Vita Lift 5 L'Oréal-Men Expert 50 ml.,8.95,17.901,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Mascarilla intensiva rescate capilar Pantene Pro-V Miracles 300 ml.,8.95,2.981,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Loción corporal pieles átopicas Instituto Español 750 ml.,8.95,1.191,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Mascarilla capilar ultra nutritiva Pro-V Miracles Pantene 160 ml.,8.95,2.981,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Crema fortalecedora ceramide protect para piel muy seca Mixa Sensitive Skin Expert 400 ml.,8.95,2.241,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Spray protector solar pieles sensibles SPF50+ Science Les Cosmétiques 250 ml.,8.95,3.581,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
"Pienso de salmón para perro adulto mini Ultima 1,5 kg",8.95,5.97,mascotas,perros,"Aceite, especias y salsas",KILO
Carrillada de Cerdo Ibérico Carrefour 400 g aprox,8.95,17.9,productos frescos,carniceria,Carne,KILO
Queso de oveja curado con trufa blanca Vega Sotuelamos cuña de 200 g,8.95,44.75,productos frescos,quesos,Charcutería y quesos,KILO
Queso azul roquefort Societé Lactalis cuña 200 g,8.95,44.75,productos frescos,quesos,"Cacao, café e infusiones",KILO
Pienso para perro adulto bon menú Receta Mediterránea 4 Kg.,8.95,2.24,mascotas,perros,Mascotas,KILO
Agua de colonia #UP2U Virtual Flow Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Gallo 1 kg aprox,8.95,8.95,productos frescos,pescaderia,Marisco y pescado,KILO
"Pienso de pollo para perros adultos yorkshire terrier Ultima 1,5 Kg",8.95,5.97,mascotas,perros,Mascotas,KILO
"Champú, acondicionador y tratamiento 3en1 Cuidado Clásico Nutri Pro-V Pantene 600 ml.",8.95,1.491,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Acondicionador micelar doble de nutrientes con 1 solo uso para cabello graso y apagado Nutri Pro-V Pantene 500 ml.,8.95,1.791,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Viñas Del Vero C.Sauvignon-Tempranillo Crianza Tinto 2019,8.95,8.95,bebidas,vinos,Bodega,UNIDAD
De Nuestra Tierra Verdejo Fermentado En Barrica Blanco 2021,8.95,0.0,bebidas,vinos,Bodega,No especificado
"Patatas fritas tradicionales Mc Cain 2,5 kg.",8.95,3.58,congelados,verduras congeladas,Congelados,KILO
Crema restauradora panthenol comfort para piel con tendencia atópica Mixa 400 ml.,8.95,0.0,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,No especificado
Tarta de queso estilo vasco Carrefour El Mercado 500 g,8.95,0.0,productos frescos,panaderia tradicional,Panadería y pastelería,No especificado
"Bálsamo reparador urea cica repair+ para piel seca, rugosa e irregular Mixa 400 ml.",8.95,0.0,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,No especificado
Aceite argán 100% puro ecológico Arganour 50 ml.,8.95,17.901,parafarmacia,cuidado corporal,"Aceite, especias y salsas",100 ML
"Pienso de pollo para perro adulto mini Ultima 1,5 Kg.",8.95,5.97,mascotas,perros,Mascotas,KILO
Agua de colonia #UP2U Born To Shine Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Pañales Carrefour Baby soft&protect Talla 2 (3-6 kg) 33 ud.,8.95,0.27,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Agua de colonia #UP2U Candy Vibes Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
"Aceite de oliva suave 0,4º Carrefour 1 l.",8.94,8.94,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Aceite de oliva intenso 1º Carrefour 1 l.,8.94,8.94,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Lubina Círculo de Calidad 600 g aprox,8.93,14.89,productos frescos,pescaderia,Marisco y pescado,KILO
Mousse de Limón 600 g,8.9,14.83,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Gel de masaje corporal con aroma a especias florales Thai Passion 2 en 1 Control 200 ml.,8.89,4.441,perfumeria e higiene,bienestar sexual,Cuidado facial y corporal,100 ML
Gel de masaje corporal con aroma a frutas tropicales Exotic Escape 2 en 1 Control 200 ml.,8.89,4.441,perfumeria e higiene,bienestar sexual,Cuidado facial y corporal,100 ML
Pants soft & eco-friendly ecológico My Carrefour Baby T4 (8-15 kg) 20 ud.,8.89,0.44,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Levadura de cerveza en comprimidos Sanon 400 ud.,8.89,5.561,parafarmacia,nutricion y dietetica,Bodega,100 GR
Pants soft & eco-friendly ecológico My Carrefour Baby T5 (12-18 kg) 18 ud.,8.89,0.49,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
"Cóctel gourmet Perezsol 2,2 kg.",8.89,4.04,la despensa,aperitivos,Aperitivos,KILO
"Aceitunas verdes manzanilla sabor anchoa Perezsol 2,5 kg.",8.89,4.0,la despensa,aperitivos,"Cacao, café e infusiones",KILO
Bebida Espirituosa con tequila Regidor 70 cl.,8.89,127.0,bebidas,alcoholes,Bodega,LITRO
Cera de azúcar Natural Inspirations Veet 250 ml.,8.89,3.561,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Agua de colonia Gotas Frescas Instituto Español 750 ml.,8.89,1.191,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Aceite de almendras con aloe vera Phytofarma 250 ml.,8.89,3.561,parafarmacia,cuidado corporal,"Aceite, especias y salsas",100 ML
Bruma facial hidratante Sensitive Advanced FP 50 Delial 75 ml.,8.89,11.851,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Comida húmeda sabores mixtos en salsa para perro Pedigree pack de 12 unidades de 100 g.,8.89,7.41,mascotas,perros,"Aceite, especias y salsas",KILO
Crema de manos y uñas Neutrogena 75 ml.,8.85,11.801,parafarmacia,cuidado de manos y pies,Cuidado facial y corporal,100 ML
Maca en cápsulas NaturCesta 90 ud.,8.85,9.831,la despensa,alimentacion,"Salsas, pasta y refrescos",100 GR
Pienso de buey para perro adulto Mini Purina Friskies Menú 3 Kg.,8.85,2.95,mascotas,perros,Mascotas,KILO
Café en grano natural Marcilla Gran Aroma 500 g.,8.85,17.7,la despensa,desayuno,"Cacao, café e infusiones",KILO
Snack dental para perros Mini Brekkies Total Dent 440 g.,8.85,20.11,mascotas,perros,Mascotas,KILO
"Café Colombia en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.",8.85,85.1,la despensa,desayuno,"Cacao, café e infusiones",KILO
Lomo de Cebo Ibérico 50% Raza Ibérica loncheado Calidad y Origen Carrefour 100 g,8.79,76.43,productos frescos,charcuteria,Charcutería y quesos,KILO
"Champú, acondicionador y tratamiento 3en1 Repara & Protege Pro-V Pantene 600 ml.",8.79,1.471,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Acondicionador de coco para cabello normal ecológico Urtekram 180 ml.,8.79,4.881,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Nuggets originales Heura 400 g,8.79,21.98,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Hamburguesa originales Heura sin gluten 440 g,8.79,19.98,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Crema de pañal caléndula ecológica Weleda Baby 75 ml.,8.79,11.721,parafarmacia,bebe,Bebé,100 ML
Champú y acondicionador anticaspa 2 en 1 Classic H&S 625 ml.,8.79,1.411,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Champú anticaspa classic H&S 625 ml.,8.79,0.0,perfumeria e higiene,cabello,Cuidado del cabello,No especificado
Biberón con tetina de silicona anatómica flujo denso +6 meses Suavinex 360 ml.,8.79,8.79,bebe,puericultura,Bebé,UNIDAD
Tetina fisiológicas SX Pro de silicona de flujo medio +3m Suavinex 2 ud.,8.79,4.39,bebe,puericultura,Bebé,UNIDAD
Supremas de atún congelado Findus 230 g.,8.79,38.22,congelados,pescados congelados,Cuidado facial y corporal,KILO
Pipeta Repelente Parásito para Gato Dixie,8.79,8.79,mascotas,gatos,Mascotas,UNIDAD
Pollo certificado limpio Carrefour 2 kg,8.78,4.39,productos frescos,carniceria,Carne,KILO
Pepsi zero azúcar pack de 12 latas de 33 cl.,8.76,2.21,bebidas,refrescos,Agua y refrescos,LITRO
Dentífrico Tratamiento Periodontal Perio-Aid 100 ml.,8.75,11.671,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Papilla infantil desde los 5-6 meses multicereales fos Damira sin lactosa 600 g.,8.75,1.461,bebe,alimentacion infantil,Bebé,100 GR
Hamburguesa de Vacuno Wagyu Santa Rosalía 2x150 g,8.75,29.17,productos frescos,carniceria,"Aceite, especias y salsas",KILO
Crema fijadora para prótesis dentales fijación fuerte sabor menta suave Polident pack de 2 unidades de 40 g.,8.75,10.941,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 GR
