Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Estuche Poseidon Gold: colonia 100 ml y after shave 100 ml.,16.39,16.39,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Bruma protectora anti arena SPF50+ Niños Sensitive Advanced Garnier Delial 150 ml.,16.39,10.931,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Vitaminas y coenzima Q10 gummies adultos Supradyn 50 ud.,16.39,8.191,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Aceite de rosa de mosqueta Phytofarma 30 ml.,16.35,54.501,cuidado corporal,"Aceite, especias y salsas",100 ML,,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 5 Junior (12-20 kg) 84 uds,16.35,0.19,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pañales Carrefour Baby Ultra Dry Talla 5 (12-20 kg) 84 ud.,16.35,0.19,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Recambios maquinilla ingles y zona íntima Venus Gillette 4 ud.,16.35,0.0,depilacion y afeitado,Cuidado facial y corporal,No especificado,,Carrefour,outlier
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 1000 ml.,16.29,1.631,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Café en grano natural espresso intenso Caffè Borbone 1000 g.,16.29,16.29,desayuno,"Cacao, café e infusiones",KILO,BORBONE,Carrefour,outlier
Detergente en cápsulas poder quitamanchas Vanish Power Caps Advanced Colon 32 ud.,16.29,0.51,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Café grano natural arábica ecológico Saula 500 g.,16.29,32.58,desayuno,"Cacao, café e infusiones",KILO,SAULA,Carrefour,outlier
"Cacao soluble sin azúcar añadido Cola Cao 1,6 kg.",16.25,10.16,desayuno,"Cacao, café e infusiones",KILO,COLA CAO,Carrefour,outlier
Crema hidratante rostro Cerave 52 ml.,16.25,31.251,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Baileys Deliciously Light Cremas,16.25,23.21,licores y cremas,Bodega,LITRO,BAILEYS,Carrefour,outlier
Terras Gauda Blanco 2022,16.25,16.25,vinos,Bodega,UNIDAD,TERRAS GAUDA,Carrefour,outlier
Recambios maquinilla Venus Deluxe Smooth Swirl Gillette 3 ud.,16.25,5.42,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Licor 43 70 cl.,16.25,23.21,alcoholes,Bodega,LITRO,LICOR,Carrefour,outlier
Bruma solar protectora SPF 50 Silk Hydration Hawaiian Tropic 220 ml.,16.25,7.391,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Cerveza Estrella Damm mediterránea pack de 24 latas de 33 cl.,16.19,2.04,cerveza,Bodega,LITRO,DAMM,Carrefour,outlier
Recambio Sensor Excel Gillette 10 ud.,16.15,1.61,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Potenciador de lavado quitamanchas en polvo sin lejía Oxi Advance Higiene Vanish 800 g.,16.15,20.19,cuidado de la ropa,Limpieza y hogar,KILO,,Carrefour,outlier
Complemento alimenticio sabor vainilla Ensure NutriVigor 400 g.,16.15,40.37,nutricion y dietetica,Fitoterapia y parafarmacia,KILO,,Carrefour,outlier
Concentrado calmante xeracalm A.D Avène 50 cl.,16.15,32.301,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
