Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Bebida de soja Pascual Vivesoy brik 1 l,"Leche, huevos y mantequilla",Bebidas vegetales,LITRO,1.89,1.89,"Huevos , leche y mantequilla",otra
Leche desnatada Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8,"Huevos , leche y mantequilla",otra
Leche desnatada Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3,"Huevos , leche y mantequilla",otra
Leche semidesnatada Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8,"Huevos , leche y mantequilla",otra
Leche semidesnatada Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3,"Huevos , leche y mantequilla",otra
Leche entera Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8,"Huevos , leche y mantequilla",otra
Leche entera Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3,"Huevos , leche y mantequilla",otra
Nata para cocinar Puleva brik 200 ml,"Leche, huevos y mantequilla",Nata,LITRO,8.3,1.66,"Huevos , leche y mantequilla",otra
Café molido mezcla intensa La estrella bolsa 250 g,"Café, cacao e infusiones",Café,KILO,9.8,2.45,"Cacao, café e infusiones",otra
Mayonesa Ybarra frasco 400 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,5.48,2.19,"Aceite, especias y salsas",otra
Margarina Proactiv tarrina 225 g,"Leche, huevos y mantequilla",Mantequilla y margarina,KILO,13.11,2.95,"Huevos , leche y mantequilla",otra
Cacao soluble ColaCao bote 383 g,"Café, cacao e infusiones",Cacao,KILO,9.9,3.79,"Cacao, café e infusiones",otra
Nata en spray Dia Láctea bote 250 g,"Leche, huevos y mantequilla",Nata,KILO,6.76,1.69,"Huevos , leche y mantequilla",Dia Láctea
Bebida láctea crecimiento y desarrollo Puleva brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.89,1.89,"Huevos , leche y mantequilla",otra
Cacao instantáneo Nesquik estuche 2 Kg,"Café, cacao e infusiones",Cacao,KILO,5.0,9.99,"Cacao, café e infusiones",Nesquik
Leche en polvo Sveltesse lata 600 g,"Leche, huevos y mantequilla",Leche,KILO,14.0,8.4,"Huevos , leche y mantequilla",otra
Leche condensada La lechera lata 740 g,"Leche, huevos y mantequilla",Leche,KILO,5.39,3.99,"Huevos , leche y mantequilla",otra
Bebida láctea folic b Flora brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.83,1.83,"Huevos , leche y mantequilla",otra
Leche condensada La lechera lata 370 g,"Leche, huevos y mantequilla",Leche,KILO,7.27,2.69,"Huevos , leche y mantequilla",otra
Chocolate con leche relleno con caramelo y avellanas Milka 300 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.97,3.89,"Azúcar, caramelos y chocolate",otra
Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.25,2.45,"Azúcar, caramelos y chocolate",otra
Palitos de pan y crema de cacao Bollycao vaso 52 g,"Galletas, bollos y cereales",Bollería,KILO,38.27,1.99,Cereales y galletas,otra
Conchas de chocolate Codan bolsa 330 g,"Galletas, bollos y cereales",Bollería,KILO,6.94,2.29,Cereales y galletas,otra
Galletas digestive con avena y chocolate Gullón caja 425 g,"Galletas, bollos y cereales",Galletas,KILO,5.15,2.19,Cereales y galletas,otra
Rosquillas de chocolate El molino de Dia bandeja 240 g,"Galletas, bollos y cereales",Bollería,KILO,7.46,1.79,Cereales y galletas,Dia
Golosinas surtidas little mix Fini tarrina 500 g,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",KILO,7.58,3.79,"Azúcar, caramelos y chocolate",otra
Barritas de cereales con chocolate nesquik Nestlé caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,19.93,2.99,Cereales y galletas,otra
Cereales integrales con chocolate negro Nestlé Fitness caja 375 g,"Galletas, bollos y cereales",Cereales,KILO,9.31,3.49,Cereales y galletas,otra
Ensaimadas El molino de Dia bolsa 220 g,"Galletas, bollos y cereales",Bollería,KILO,5.41,1.19,Cereales y galletas,Dia
Galletas digestive con chocolate con leche Fontaneda caja 300 g,"Galletas, bollos y cereales",Galletas,KILO,12.33,3.7,Cereales y galletas,otra
Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,"Galletas, bollos y cereales",Bollería,KILO,5.03,1.69,Cereales y galletas,Dia
Bombones rellenos de coco y almendra Ferrero Raffaello caja 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,26.33,3.95,"Azúcar, caramelos y chocolate",otra
Bombones cortados clásicos Trapa caja 115 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,20.43,2.35,"Azúcar, caramelos y chocolate",otra
Barritas de cereales con chocolate con leche Corny caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,16.6,2.49,Cereales y galletas,otra
Roscos de galleta con chocolate con leche chocoaros Galleteca de Dia bolsa 128 g,"Galletas, bollos y cereales",Galletas,KILO,6.17,0.79,Cereales y galletas,Galleteca
Galletas digestive Galleteca de Dia caja 800 g,"Galletas, bollos y cereales",Galletas,KILO,2.19,1.75,Cereales y galletas,Galleteca
Gazpacho Al Punto Dia brik 3 x 330 ml,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.97,1.95,Pizzas y platos preparados,Dia
Chocolate con leche y almendras Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15,"Azúcar, caramelos y chocolate",Dia
Chocolate con leche y avellanas Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15,"Azúcar, caramelos y chocolate",Dia
Chocolate blanco Temptation de Dia 2 x 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.5,1.5,"Azúcar, caramelos y chocolate",Dia
Chocolate con leche Temptation de Dia 2 x 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,6.63,1.99,"Azúcar, caramelos y chocolate",Dia
Palmeritas El molino de Dia bandeja 245 g,"Galletas, bollos y cereales",Bollería,KILO,4.98,1.22,Cereales y galletas,Dia
Galletas digestive sin azúcares Gullón caja 400 g,"Galletas, bollos y cereales",Galletas,KILO,6.63,2.65,Cereales y galletas,otra
Huevo de chocolate con sorpresa joy Kinder 20 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,70.0,1.4,"Azúcar, caramelos y chocolate",Kinder
