Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Detergente en cápsulas poder quitamanchas Vanish Power Caps Advanced Colon 32 ud.,16.29,0.51,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Café grano natural arábica ecológico Saula 500 g.,16.29,32.58,la despensa,desayuno,"Cacao, café e infusiones",KILO,SAULA
"Cacao soluble sin azúcar añadido Cola Cao 1,6 kg.",16.25,10.16,la despensa,desayuno,"Cacao, café e infusiones",KILO,COLA CAO
Crema hidratante rostro Cerave 52 ml.,16.25,31.251,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML,
Baileys Deliciously Light Cremas,16.25,23.21,bebidas,licores y cremas,Bodega,LITRO,BAILEYS
Terras Gauda Blanco 2022,16.25,16.25,bebidas,vinos,Bodega,UNIDAD,TERRAS GAUDA
Recambios maquinilla Venus Deluxe Smooth Swirl Gillette 3 ud.,16.25,5.42,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,
Licor 43 70 cl.,16.25,23.21,bebidas,alcoholes,Bodega,LITRO,LICOR
Bruma solar protectora SPF 50 Silk Hydration Hawaiian Tropic 220 ml.,16.25,7.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Cerveza Estrella Damm mediterránea pack de 24 latas de 33 cl.,16.19,2.04,bebidas,cerveza,Bodega,LITRO,DAMM
Recambio Sensor Excel Gillette 10 ud.,16.15,1.61,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,
Potenciador de lavado quitamanchas en polvo sin lejía Oxi Advance Higiene Vanish 800 g.,16.15,20.19,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,KILO,
Complemento alimenticio sabor vainilla Ensure NutriVigor 400 g.,16.15,40.37,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,KILO,
Concentrado calmante xeracalm A.D Avène 50 cl.,16.15,32.301,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML,
Sérum facial protector SPF50+ Ceramide Protect Invisible Super UV Delial 30 ml.,16.15,53.831,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Crema de día antiedad intensiva FP15 Cellular Expert Filler Nivea 50 ml.,16.15,32.301,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
