Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio
L106,Azúcar blanco Dia paquete 1 Kg,"Azúcar, chocolates y caramelos",Azúcar y edulcorantes,KILO,1.45,1.45
L106,Caramelos con palo varios sabores Chupa Chups bolsa 208 g,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",KILO,15.38,3.2
L106,Mermelada de fresa extra Helios frasco 340 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,5.88,2
L106,Pan de molde formato familiar El molino de Dia bolsa 820 g,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.",KILO,1.52,1.25
L106,Huevos de chocolate con sorpresa 3 unidades Kinder caja 60 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,58.17,3.49
L107,Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41
L107,Preparado para tarta de oreo Royal caja 215 g,"Panes, harinas y masas",Preparados para postres,KILO,18.56,3.99
L107,Bizcocho casero Royal caja 375 g,"Panes, harinas y masas",Preparados para postres,KILO,8.51,3.19
L107,Agua mineral natural Font Vella botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73
L107,Bífidus desnatado con ciruelas Activia vaso 480 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99
L107,Agua mineral natural Cabreiroá botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.53,0.79
L107,Bífidus desnatado con kiwi Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99
L107,Agua mineral con gas Vichy botella 1 l,"Agua, refrescos y zumos",Agua,LITRO,1.49,1.49
L107,Barra de pan peregrina El molino de Dia bolsa 250 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.88,0.72
L107,Cremoso con fibra y cereales Bífidus Dia pack 4 x 125 g,Yogures y postres,Yogures bífidus y colesterol,KILO,2.58,1.29
L107,Agua mineral natural Font Vella botella 2 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.97
L107,Bebida láctea de fresa Danacol pack 6 x 100 g,Yogures y postres,Yogures bífidus y colesterol,KILO,7.48,4.49
L107,Preparado para flan contiene caramelo líquido Royal caja 232.5 g,"Panes, harinas y masas",Preparados para postres,KILO,9.68,2.25
L107,Agua mineral natural Solán de Cabras garrafa 5 l,"Agua, refrescos y zumos",Agua,LITRO,0.54,2.69
L107,Fideos de colores para decorar Dulcinea bolsa 150 g,"Panes, harinas y masas",Preparados para postres,KILO,11,1.65
L107,Fideos de chocolate para decorar Dulcinea bolsa 150 g,"Panes, harinas y masas",Preparados para postres,KILO,11,1.65
L107,Picatostes fritos El molino de Dia bolsa 75 g,"Panes, harinas y masas",Picos y panes tostados,KILO,10.53,0.79
L107,Bífidus sabor mango y papaya con soja Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,6.23,2.99
L107,Picos integrales El molino de Dia bolsa 250 g,"Panes, harinas y masas",Picos y panes tostados,KILO,2.6,0.65
L107,Bífidus natural Activia pack 4 x 120 g,Yogures y postres,Yogures bífidus y colesterol,KILO,5.6,2.69
L107,Barra de pan integral 100% El molino de Dia bolsa 220 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.68,0.59
L107,Agua mineral natural Solán de Cabras botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.59,0.89
L107,Pan rallado El molino de Dia bolsa 750 g,"Panes, harinas y masas",Pan rallado,KILO,1.2,0.9
L107,Picos de pan El molino de Dia bolsa 250 g,"Panes, harinas y masas",Picos y panes tostados,KILO,2.6,0.65
L107,Agua mineral natural Aquarel botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,1.18,0.59
L107,Pan tostado integral El molino de Dia bolsa 270 g,"Panes, harinas y masas",Picos y panes tostados,KILO,5.37,1.45
L107,Pan tostado normal El molino de Dia bolsa 270 g,"Panes, harinas y masas",Picos y panes tostados,KILO,3.89,1.05
L107,Preparado para pastel fresco sabor limón Royal caja 103 g,"Panes, harinas y masas",Preparados para postres,KILO,15.53,1.6
L107,Agua mineral natural Aquabona botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.43,0.64
L107,Preparado para natillas caseras Royal caja 100 g,"Panes, harinas y masas",Preparados para postres,KILO,15,1.5
L108,Arroz con leche con canela Caprichoso Dia pack 4 x 125 g,Yogures y postres,Arroz con leche y postre tradicional,KILO,2.67,1.39
L108,Refresco de cola zero Coca-Cola botella 500 ml,"Agua, refrescos y zumos",Cola,LITRO,2.9,1.45
L108,Refresco de cola zero Coca-Cola botella 2 x 2 l,"Agua, refrescos y zumos",Cola,LITRO,0.98,3.9
L108,Refresco de cola zero Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L108,Refresco de cola zero Coca-Cola lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.64,10.44
L108,Refresco de cola clásica Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L108,Refresco de cola clásica Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L108,Natillas de chocolate Danet pack 4 x 120 g,Yogures y postres,Natillas y flan,KILO,4.15,1.99
L108,Natillas de vainilla Danet pack 4 x 120 g,Yogures y postres,Natillas y flan,KILO,4.15,1.99
L108,Refresco de cola clásica Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L108,Yogur sabor fresa y plátano Dia Láctea pack 8 x 125 g,Yogures y postres,Yogures de sabores y frutas,KILO,1.59,1.59
L108,Refresco de cola sin cafeína Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L108,Refresco de cola light Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L108,Refresco de cola clásica Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L108,Refresco de cola clásica Coca-Cola botella 2 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.99
L108,Refresco de cola clásica Pepsi botella 2 x 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.94,3.3
L108,Yogur desnatado con frutas Dia Láctea pack 8 x 125 g,Yogures y postres,Yogures desnatados,KILO,2.05,2.05
L108,Refresco de cola Hola Cola de Dia lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,1.03,4.08
L108,Refresco de cola Hola Cola de Dia lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,1.03,0.34
L108,Refresco de cola zero Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L108,Refresco de cola zero Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L108,Yogur sabor fresa Dia Láctea pack 4 x 125 g,Yogures y postres,Yogures de sabores y frutas,KILO,1.58,0.79
